id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
tpot_20230425_022050,1,5,90,0.8472,0.1534,0.6111,0.5786,0.6607
tpot_20230425_023544,1,5,110,0.8194,0.0856,0.6667,0.6494,0.7077
tpot_20230425_031140,1,5,130,0.8611,0.0921,0.6111,0.6099,0.6125
tpot_20230425_033209,1,5,150,0.8194,0.1039,0.6111,0.6099,0.6125
tpot_20230425_041446,1,5,170,0.8472,0.1643,0.6111,0.6099,0.6125
tpot_20230425_044045,1,5,190,0.8194,0.1039,0.6111,0.5786,0.6607
tpot_20230425_055735,1,5,210,0.8333,0.1443,0.7222,0.7143,0.75
tpot_20230425_060904,1,7,10,0.875,0.1021,0.7778,0.775,0.7922
tpot_20230425_061923,1,7,30,0.8333,0.1443,0.7222,0.7143,0.75
tpot_20230425_062854,1,7,50,0.8333,0.0833,0.5,0.4857,0.5
tpot_20230425_063720,1,7,70,0.8333,0.1021,0.5556,0.5325,0.5692
tpot_20230425_064854,1,7,90,0.8056,0.0856,0.7222,0.7214,0.725
tpot_20230425_070012,1,7,110,0.8056,0.1195,0.5556,0.5,0.6
tpot_20230425_071108,1,7,130,0.7917,0.1318,0.6667,0.6494,0.7077
tpot_20230425_081435,1,7,150,0.8056,0.1571,0.6667,0.6625,0.6753
tpot_20230425_084732,1,7,170,0.7778,0.1288,0.6111,0.6,0.625
tpot_20230425_090155,1,7,190,0.7917,0.1443,0.6111,0.6099,0.6125
tpot_20230425_091346,1,7,210,0.75,0.1443,0.7778,0.7662,0.8462
tpot_20230425_093328,1,9,10,0.8056,0.1457,0.7222,0.7214,0.725
