id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
tpot_20230422_222027,1,3,40,0.8611,0.0708,0.8889,0.8875,0.9091
tpot_20230422_223323,1,3,50,0.8472,0.1416,0.7222,0.7214,0.725
tpot_20230422_224548,1,3,60,0.8333,0.1318,0.8333,0.8286,0.875
tpot_20230422_225459,1,3,70,0.8472,0.1145,0.8333,0.8328,0.8375
tpot_20230422_231816,1,3,80,0.9028,0.0982,0.7778,0.7778,0.7778
tpot_20230422_233127,1,3,90,0.8889,0.0921,0.5556,0.5556,0.5556
tpot_20230422_234248,1,3,100,0.875,0.0833,0.8333,0.8328,0.8375
tpot_20230422_235650,1,4,10,0.7917,0.1179,0.6111,0.6099,0.6125
tpot_20230423_000356,1,4,20,0.7917,0.1179,0.7222,0.7214,0.725
tpot_20230423_001423,1,4,30,0.8333,0.1179,0.7778,0.775,0.7922
tpot_20230423_002818,1,4,40,0.8333,0.1179,0.8333,0.8328,0.8375
tpot_20230423_003728,1,4,50,0.8472,0.0786,0.7222,0.7143,0.75
tpot_20230423_005130,1,4,60,0.9028,0.0982,0.7778,0.775,0.7922
tpot_20230423_010044,1,4,70,0.8472,0.0786,0.6667,0.625,0.8
tpot_20230423_010711,1,4,80,0.8472,0.0982,0.7222,0.7214,0.725
tpot_20230423_013242,1,4,90,0.875,0.1318,0.7778,0.775,0.7922
tpot_20230423_014916,1,4,100,0.8611,0.1242,0.6111,0.6,0.625
tpot_20230423_020214,1,5,10,0.8333,0.1179,0.6667,0.6625,0.6753
tpot_20230423_021150,1,5,20,0.8611,0.1094,0.6667,0.6625,0.6753
tpot_20230423_021739,1,5,30,0.8333,0.1559,0.8889,0.8889,0.8889
