id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
h2o_20230429_060008,1,3,130,0.8651,0.0978,0.8889,0.8875,0.9091
h2o_20230429_063125,1,3,150,0.875,0.0625,0.8333,0.8328,0.8375
h2o_20230429_070641,1,3,170,0.9444,0.0908,0.8889,0.8889,0.8889
h2o_20230429_074737,1,3,190,0.9444,0.0908,0.8889,0.8889,0.8889
h2o_20230429_083326,1,3,210,0.9167,0.0884,0.8889,0.8889,0.8889
h2o_20230429_125505,1,5,10,0.8472,0.1627,0.7778,0.7662,0.8462
h2o_20230429_130128,1,5,30,0.8056,0.2263,0.7222,0.699,0.8214
h2o_20230429_131100,1,5,50,0.875,0.125,0.6111,0.5418,0.7812
h2o_20230429_132505,1,5,70,0.8933,0.1146,0.5556,0.5,0.6
h2o_20230429_134220,1,5,90,0.8472,0.1042,0.7222,0.7143,0.75
h2o_20230429_140443,1,5,110,0.875,0.1083,0.7778,0.775,0.7922
h2o_20230429_143218,1,5,130,0.8603,0.0959,0.6111,0.5418,0.7812
h2o_20230429_150426,1,5,150,0.8194,0.1545,0.5556,0.4462,0.7647
h2o_20230429_153837,1,5,170,0.8333,0.1083,0.6667,0.6494,0.7077
h2o_20230429_161717,1,5,190,0.8333,0.0884,0.6667,0.6494,0.7077
h2o_20230429_170221,1,5,210,0.8333,0.1398,0.6667,0.6494,0.7077
h2o_20230429_170626,1,7,10,0.8889,0.1587,0.6667,0.6625,0.6753
h2o_20230429_171214,1,7,30,0.8611,0.1705,0.7222,0.7214,0.725
h2o_20230429_172144,1,7,50,0.8611,0.1705,0.7222,0.7214,0.725
h2o_20230429_173525,1,7,70,0.8472,0.1366,0.7222,0.7214,0.725
h2o_20230429_175304,1,7,90,0.7917,0.1768,0.7222,0.7143,0.75
h2o_20230429_181428,1,7,110,0.8194,0.1545,0.6667,0.6625,0.6753
h2o_20230429_184028,1,7,130,0.7778,0.2052,0.7222,0.7214,0.725
h2o_20230429_190854,1,7,150,0.7778,0.1954,0.6111,0.6,0.625
h2o_20230429_194121,1,7,170,0.8056,0.1987,0.6111,0.6,0.625
h2o_20230429_201910,1,7,190,0.7917,0.2253,0.6667,0.6625,0.6753
h2o_20230429_210151,1,7,210,0.75,0.1976,0.6667,0.6625,0.6753
h2o_20230429_210551,1,9,10,0.7639,0.2292,0.5556,0.4462,0.7647
h2o_20230429_211150,1,9,30,0.7639,0.1921,0.6111,0.6,0.625
h2o_20230429_212110,1,9,50,0.7361,0.2205,0.7222,0.7143,0.75
h2o_20230429_213318,1,9,70,0.75,0.2339,0.7778,0.775,0.7922
h2o_20230429_214916,1,9,90,0.7778,0.278,0.8333,0.8328,0.8375
h2o_20230429_220906,1,9,110,0.7778,0.2849,0.4444,0.4156,0.4308
h2o_20230429_223509,1,9,130,0.75,0.2997,0.6111,0.5418,0.7812
h2o_20230429_230531,1,9,150,0.7361,0.261,0.5556,0.55,0.5584
h2o_20230429_233959,1,9,170,0.7639,0.2684,0.6667,0.6625,0.6753
h2o_20230430_001735,1,9,190,0.75,0.2421,0.6667,0.6667,0.6667
h2o_20230430_005803,1,9,210,0.7222,0.2483,0.6667,0.6667,0.6667
h2o_20230501_005334,1,11,10,0.7917,0.1531,0.6111,0.5786,0.6607
h2o_20230501_010000,1,11,30,0.7361,0.2826,0.4444,0.4444,0.4444
h2o_20230501_010939,1,11,50,0.6944,0.266,0.6111,0.6099,0.6125
h2o_20230501_012313,1,11,70,0.7222,0.2052,0.7222,0.7214,0.725
